,Time
1367,6.349595
1368,6.35037
1369,6.355853
1370,6.363802
1371,6.369207
1372,6.370447
1373,6.379207
1374,6.383132
1375,6.388199
1376,6.394908
1377,6.411393
1378,6.417606
1379,6.418906
1380,6.419782
1381,6.427877
1382,6.430248
1383,6.430272
1384,6.433367
1385,6.455168
1386,6.456162
1387,6.45927
1388,6.468881
1389,6.469016
1390,6.47565
1391,6.477243
1392,6.47825
1393,6.47935
1394,6.485659
1395,6.486465
1396,6.494611
1397,6.494644
1398,6.503805
1399,6.505258
1400,6.505271
1401,6.508298
1402,6.519713
1403,6.522273
1404,6.523883
1405,6.523895
1406,6.528357
1407,6.529358
1408,6.532637
1409,6.541609
1410,6.545102
1411,6.551519
1412,6.55361
1413,6.55637
1414,6.55698
1415,6.571134
1416,6.579135
1417,6.579584
1418,6.58284
1419,6.590618
1420,6.591862
1421,6.603497
1422,6.619717
1423,6.619734
1424,6.620124
1425,6.622098
1426,6.623344
1427,6.628103
1428,6.629372
1429,6.640137
1430,6.641981
1431,6.651382
1432,6.653472
1433,6.656712
1434,6.658522
1435,6.661973
1436,6.669655
1437,6.674832
1438,6.67936
1439,6.68471
1440,6.696611
1441,6.703862
1442,6.707082
1443,6.715139
1444,6.71686
1445,6.71899
1446,6.719745
1447,6.720159
1448,6.729523
1449,6.738295
1450,6.747904
1451,6.749624
1452,6.751874
1453,6.751887
1454,6.753617
1455,6.757105
1456,6.763233
1457,6.773153
1458,6.774837
1459,6.779883
1460,6.791731
1461,6.793106
1462,6.808609
1463,6.808629
1464,6.810352
1465,6.812608
1466,6.817607
1467,6.819443
1468,6.828757
1469,6.829412
1470,6.838757
1471,6.852666
1472,6.855447
1473,6.856642
1474,6.857656
1475,6.858661
1476,6.869618
1477,6.880114
1478,6.880638
1479,6.883378
1480,6.887704
1481,6.907627
1482,6.908996
1483,6.909667
1484,6.911677
1485,6.91688
1486,6.919178
1487,6.919646
1488,6.920405
1489,6.928698
1490,6.929423
1491,6.940182
1492,6.942397
1493,6.948165
1494,6.949427
1495,6.963109
1496,6.968832
1497,6.970134
1498,6.978132
1499,6.979866
1500,6.979881
1501,6.982921
1502,6.985793
1503,6.989113
1504,6.992124
1505,6.99801
1506,7.011091
1507,7.011105
1508,7.011612
1509,7.019371
1510,7.029396
1511,7.036542
1512,7.040358
1513,7.047901
1514,7.054782
1515,7.055596
1516,7.061704
1517,7.067656
1518,7.079365
1519,7.079392
1520,7.082489
1521,7.085147
1522,7.085602
1523,7.103863
1524,7.113007
1525,7.115671
1526,7.116956
1527,7.129245
1528,7.131873
1529,7.134448
1530,7.135608
1531,7.140369
1532,7.142872
1533,7.147138
1534,7.150872
1535,7.157369
1536,7.162875
1537,7.179876
1538,7.183648
1539,7.196184
1540,7.19966
1541,7.200997
1542,7.20128
1543,7.213429
1544,7.214709
1545,7.218677
1546,7.229666
1547,7.232292
1548,7.239636
1549,7.240736
1550,7.248365
1551,7.250864
1552,7.266892
1553,7.267608
1554,7.26886
1555,7.281615
1556,7.285127
1557,7.28612
1558,7.29697
1559,7.297348
1560,7.299503
1561,7.302291
1562,7.302401
1563,7.315545
1564,7.324101
1565,7.325865
1566,7.328346
1567,7.333931
1568,7.333954
1569,7.337772
1570,7.340529
1571,7.341097
1572,7.343594
1573,7.346649
1574,7.347446
1575,7.34928
1576,7.35164
1577,7.351857
1578,7.353374
1579,7.365353
1580,7.365369
1581,7.365379
1582,7.381363
1583,7.385955
1584,7.398634
1585,7.400614
1586,7.414673
1587,7.415608
1588,7.415756
1589,7.419115
1590,7.424126
1591,7.432078
1592,7.434675
1593,7.436345
1594,7.438825
1595,7.440687
1596,7.443398
1597,7.463292
1598,7.465109
1599,7.465625
1600,7.468123
1601,7.482412
1602,7.485967
1603,7.4861
1604,7.499276
1605,7.501352
1606,7.501363
1607,7.514607
1608,7.515537
1609,7.518603
1610,7.523854
1611,7.535205
1612,7.535455
1613,7.536204
1614,7.540632
1615,7.553215
1616,7.563261
1617,7.563511
1618,7.563525
1619,7.565635
1620,7.568466
1621,7.568861
1622,7.583022
1623,7.585364
1624,7.593893
1625,7.601292
1626,7.604348
1627,7.612101
1628,7.613345
1629,7.614593
1630,7.617846
1631,7.618873
1632,7.618884
1633,7.619344
1634,7.624145
1635,7.632073
1636,7.632086
1637,7.652427
1638,7.663753
1639,7.667806
1640,7.669611
1641,7.67261
1642,7.673956
1643,7.682331
1644,7.685709
1645,7.699091
1646,7.701514
1647,7.701833
1648,7.707585
1649,7.712588
1650,7.713862
1651,7.714962
1652,7.718838
1653,7.724346
1654,7.725765
1655,7.726337
1656,7.731621
1657,7.740698
1658,7.743972
1659,7.743992
1660,7.746997
1661,7.753982
1662,7.758244
1663,7.759994
1664,7.764722
1665,7.764735
1666,7.767254
1667,7.770098
1668,7.782849
1669,7.796009
1670,7.805105
1671,7.811732
1672,7.813689
1673,7.814129
1674,7.817105
1675,7.817705
1676,7.819106
1677,7.82449
1678,7.825708
1679,7.830613
1680,7.831731
1681,7.832359
1682,7.838367
1683,7.842124
1684,7.85137
1685,7.85161
1686,7.853874
1687,7.863747
1688,7.865969
1689,7.868122
1690,7.871255
1691,7.87165
1692,7.890232
1693,7.898097
1694,7.903102
1695,7.913704
1696,7.914098
1697,7.916098
1698,7.918979
1699,7.921601
1700,7.924356
1701,7.927778
1702,7.935231
1703,7.940268
1704,7.942814
1705,7.95282
1706,7.953237
1707,7.955032
1708,7.964239
1709,7.965856
1710,7.966691
1711,7.979863
1712,7.985243
1713,7.985384
1714,7.990241
1715,7.998902
1716,8.00463
1717,8.008239
1718,8.013839
1719,8.015341
1720,8.016846
1721,8.017589
1722,8.029747
1723,8.029761
1724,8.033844
1725,8.034895
1726,8.035343
1727,8.043103
1728,8.044591
1729,8.05485
